id,cast_name,title,release_date,budget,revenue,return
862,Tom Hanks,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,Tim Allen,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,Don Rickles,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,Jim Varney,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,Wallace Shawn,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,John Ratzenberger,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,Annie Potts,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,John Morris,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,Erik von Detten,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,Laurie Metcalf,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,R. Lee Ermey,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,Sarah Freeman,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
862,Penn Jillette,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
8844,Robin Williams,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Jonathan Hyde,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Kirsten Dunst,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Bradley Pierce,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Bonnie Hunt,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Bebe Neuwirth,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,David Alan Grier,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Patricia Clarkson,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Adam Hann-Byrd,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Laura Bell Bundy,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,James Handy,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Gillian Barber,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Brandon Obray,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Cyrus Thiedeke,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Gary Joseph Thorup,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Leonard Zola,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Lloyd Berry,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Malcolm Stewart,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Annabel Kershaw,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Darryl Henriques,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Robyn Driscoll,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Peter Bryant,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Sarah Gilson,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Florica Vlad,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,June Lion,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
8844,Brenda Lockmuller,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
15602,Walter Matthau,Grumpier Old Men,1995-12-22,0.0,0.0,0.0
15602,Jack Lemmon,Grumpier Old Men,1995-12-22,0.0,0.0,0.0
15602,Ann-Margret,Grumpier Old Men,1995-12-22,0.0,0.0,0.0
15602,Sophia Loren,Grumpier Old Men,1995-12-22,0.0,0.0,0.0
15602,Daryl Hannah,Grumpier Old Men,1995-12-22,0.0,0.0,0.0
15602,Burgess Meredith,Grumpier Old Men,1995-12-22,0.0,0.0,0.0
15602,Kevin Pollak,Grumpier Old Men,1995-12-22,0.0,0.0,0.0
31357,Whitney Houston,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
31357,Angela Bassett,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
31357,Loretta Devine,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
31357,Lela Rochon,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
31357,Gregory Hines,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
31357,Dennis Haysbert,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
31357,Michael Beach,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
31357,Mykelti Williamson,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
31357,Lamont Johnson,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
31357,Wesley Snipes,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
11862,Steve Martin,,,,,
11862,Diane Keaton,,,,,
11862,Martin Short,,,,,
11862,Kimberly Williams-Paisley,,,,,
11862,George Newbern,,,,,
11862,Kieran Culkin,,,,,
11862,BD Wong,,,,,
11862,Peter Michael Goetz,,,,,
11862,Kate McGregor-Stewart,,,,,
11862,Jane Adams,,,,,
11862,Eugene Levy,,,,,
11862,Lori Alan,,,,,
949,Al Pacino,Heat,1995-12-15,60000000.0,187436818.0,3.123946966666667
949,Robert De Niro,Heat,1995-12-15,60000000.0,187436818.0,3.123946966666667
